Wall time,Step,Value
1618911439.9125247,1,0.47898048162460327
1618911442.3771987,2,0.4630652666091919
1618911444.8133433,3,0.6244376301765442
1618911447.3694808,4,0.47692936658859253
1618911449.8706574,5,0.8014611005783081
1618911452.3925407,6,0.8176689743995667
1618911454.9845066,7,0.8354067206382751
1618911457.4134746,8,0.832881510257721
1618911459.9294012,9,0.7910873889923096
1618911462.3833218,10,0.8578145503997803
1618911464.901757,11,0.8569039702415466
1618911467.4127984,12,0.8778114914894104
1618911470.0433257,13,0.8733668923377991
1618911472.734441,14,0.8727518320083618
1618911475.3166535,15,0.8772987127304077
1618911477.9323118,16,0.8819264769554138
1618911480.6085317,17,0.8917674422264099
1618911483.2310414,18,0.8876900672912598
1618911485.8847597,19,0.8823792934417725
1618911488.470106,20,0.8912338614463806
1618911491.0510812,21,0.8915539383888245
1618911493.6114345,22,0.891596257686615
1618911496.187706,23,0.895914614200592
1618911498.8158686,24,0.8981170654296875
1618911501.45555,25,0.8933061957359314
1618911504.0919158,26,0.8843214511871338
1618911506.741153,27,0.888544499874115
1618911509.3652103,28,0.9013631343841553
1618911511.985829,29,0.9004440903663635
1618911514.5847626,30,0.8979325294494629
1618911517.229037,31,0.9066110253334045
1618911519.8898532,32,0.9101744890213013
1618911522.5245268,33,0.9109818339347839
1618911525.142484,34,0.9119181632995605
1618911527.8021917,35,0.9135398268699646
1618911530.414068,36,0.908994734287262
1618911533.0301108,37,0.9147360920906067
1618911535.6769814,38,0.9116024374961853
1618911538.2765996,39,0.9130712151527405
1618911540.8991592,40,0.9125722050666809
1618911543.5088255,41,0.9156128168106079
1618911546.1201625,42,0.9044875502586365
1618911548.702668,43,0.9116833806037903
1618911551.3128583,44,0.914320170879364
1618911553.9269042,45,0.9182799458503723
1618911556.544183,46,0.9165404438972473
1618911559.1643748,47,0.912682056427002
1618911561.7683537,48,0.9131955504417419
1618911564.3788762,49,0.9190783500671387
1618911566.995788,50,0.918993353843689
1618911569.607448,51,0.9188499450683594
1618911572.2630942,52,0.916653037071228
1618911574.8614144,53,0.9195218086242676
1618911577.4675744,54,0.9072842001914978
1618911580.1366975,55,0.9208448529243469
1618911582.7355185,56,0.9200425148010254
1618911585.3312438,57,0.9163010120391846
1618911587.9636483,58,0.9126908183097839
1618911590.5782604,59,0.924925684928894
1618911593.1667168,60,0.9250193238258362
1618911595.772288,61,0.9250745177268982
1618911598.4250414,62,0.9246340394020081
1618911601.0425336,63,0.9237630367279053
1618911603.6387088,64,0.9196109771728516
1618911606.2409506,65,0.9235714077949524
1618911608.8702633,66,0.9213928580284119
1618911611.4832761,67,0.9243065118789673
1618911614.1026738,68,0.919995903968811
1618911616.7424273,69,0.9263505935668945
1618911619.3520691,70,0.9261907339096069
1618911622.0195081,71,0.9257684350013733
1618911624.6278322,72,0.9272522926330566
1618911627.261791,73,0.9291859865188599
1618911629.899796,74,0.9307371973991394
1618911632.502489,75,0.9254245162010193
1618911635.12252,76,0.9296624064445496
1618911637.738411,77,0.9337273240089417
1618911640.3889246,78,0.9236989617347717
1618911643.0275056,79,0.93207848072052
1618911645.6893954,80,0.925332248210907
1618911648.3496006,81,0.9304500222206116
1618911651.0543792,82,0.9273703098297119
1618911653.6931167,83,0.9292393922805786
1618911656.36036,84,0.9261418581008911
1618911659.0585668,85,0.9278343319892883
1618911661.7095692,86,0.9301069974899292
1618911664.3852265,87,0.9299753904342651
1618911667.0635352,88,0.9334970116615295
1618911669.693441,89,0.934417724609375
1618911672.3110974,90,0.933548629283905
1618911674.9168153,91,0.9318608641624451
1618911677.547306,92,0.9352829456329346
1618911680.1621308,93,0.939862847328186
1618911682.7803805,94,0.9324555993080139
1618911685.3838577,95,0.9307428598403931
1618911688.0162048,96,0.9346016645431519
1618911690.6444058,97,0.9352735877037048
1618911693.2747977,98,0.9373766779899597
1618911695.8929842,99,0.9384910464286804
1618911698.5278163,100,0.9350444674491882
