Wall time,Step,Value
1618388954.3677542,1,0.8814177513122559
1618389036.6588101,2,0.8897623419761658
1618389119.923577,3,0.898970365524292
1618389201.327919,4,0.8943970203399658
1618389283.308143,5,0.9112714529037476
1618389363.5928307,6,0.9073451161384583
1618389444.7747464,7,0.9056243896484375
1618389523.7999914,8,0.9176348447799683
1618389604.189686,9,0.9130915999412537
1618389685.3249369,10,0.9202061891555786
1618389765.5890946,11,0.917843222618103
1618389844.8343942,12,0.9266121983528137
1618389925.518781,13,0.9226961135864258
1618390007.1643476,14,0.9244924187660217
1618390086.4644282,15,0.9251139760017395
1618390166.5934196,16,0.9248617887496948
1618390246.8132834,17,0.9266167879104614
1618390327.0597458,18,0.9193583726882935
1618390406.6620452,19,0.923900306224823
1618390488.2517626,20,0.9209706783294678
1618390569.3556147,21,0.9257100224494934
1618390649.810817,22,0.9248274564743042
1618390730.720736,23,0.933380126953125
1618390810.9749663,24,0.9289626479148865
1618390890.9379983,25,0.9313364624977112
1618390970.5769713,26,0.9211861491203308
1618391050.5839753,27,0.9200010895729065
1618391131.0331292,28,0.9364067912101746
1618391211.0695682,29,0.9351849555969238
1618391290.6880872,30,0.9352709054946899
1618391371.3892083,31,0.9296483993530273
1618391453.040507,32,0.9042917490005493
1618391532.8439605,33,0.9371863603591919
1618391613.667404,34,0.9370361566543579
1618391694.3176293,35,0.9302122592926025
1618391774.4869084,36,0.935716986656189
1618391855.6179287,37,0.9362860918045044
1618391936.6595964,38,0.9380667805671692
1618392018.6600661,39,0.9402166604995728
1618392098.5978534,40,0.9399727582931519
1618392176.8214903,41,0.9408698678016663
1618392256.3955197,42,0.9411886930465698
1618392335.4835217,43,0.9433403611183167
1618392415.3664567,44,0.9432042241096497
1618392494.9487772,45,0.9421061277389526
1618392574.9381456,46,0.9380279183387756
1618392656.2508152,47,0.9405015110969543
1618392737.2800164,48,0.9371837973594666
1618392816.3947384,49,0.9388241767883301
1618392896.4476638,50,0.9421310424804688
1618392976.4143918,51,0.944299578666687
1618393057.4811676,52,0.9413894414901733
1618393137.307843,53,0.9449155330657959
1618393216.6247478,54,0.9450972676277161
1618393294.8233879,55,0.9378278851509094
1618393372.9052932,56,0.9425088763237
1618393450.9999437,57,0.9445382952690125
1618393529.039999,58,0.9460150599479675
1618393607.1056821,59,0.9400598406791687
1618393685.0972927,60,0.9461095333099365
1618393763.2086475,61,0.9384684562683105
1618393841.9745815,62,0.9308068156242371
1618393928.8012426,63,0.9453599452972412
1618394016.0223837,64,0.9428576827049255
1618394103.0056376,65,0.9431614279747009
1618394190.096036,66,0.9442556500434875
1618394277.1778524,67,0.944871723651886
1618394359.6803362,68,0.8973201513290405
