Wall time,Step,Value
1616156071.7725494,1,0.30932995676994324
1616156083.136591,2,0.30227646231651306
1616156094.628417,3,0.3572317659854889
1616156106.1180158,4,0.3726455867290497
1616156117.6198783,5,0.48175710439682007
1616156129.0947654,6,0.4497586786746979
1616156140.4484308,7,0.4834024906158447
1616156150.7707722,8,0.37149399518966675
1616156161.0169687,9,0.5382015109062195
1616156171.3021026,10,0.4904085099697113
1616156182.0448966,11,0.5483633279800415
1616156192.366283,12,0.46758773922920227
1616156203.7068949,13,0.5615016222000122
1616156215.2402937,14,0.5965527296066284
1616156226.5691185,15,0.6205630302429199
1616156237.5438566,16,0.6550405025482178
1616156248.7904522,17,0.6570031642913818
1616156260.1982322,18,0.6146012544631958
1616156271.7136729,19,0.6229845881462097
1616156283.189695,20,0.6687589883804321
1616156294.7495847,21,0.6349589824676514
1616156306.2470212,22,0.7154566049575806
1616156317.8222697,23,0.6553584933280945
1616156329.2646036,24,0.685553252696991
1616156340.733823,25,0.7245966792106628
1616156352.184647,26,0.7498441338539124
1616156363.7188716,27,0.6677800416946411
1616156375.1860163,28,0.7589484453201294
1616156386.6711347,29,0.7549780011177063
1616156398.2468674,30,0.7679282426834106
1616156409.8028896,31,0.803957998752594
1616156421.3379536,32,0.7861571311950684
1616156432.3304813,33,0.77145916223526
1616156443.3088317,34,0.8028072118759155
1616156454.798762,35,0.8021634817123413
1616156466.0961783,36,0.7959915399551392
1616156476.335488,37,0.8283966183662415
1616156486.6038616,38,0.8144769072532654
1616156496.8453126,39,0.7860733270645142
1616156507.0547612,40,0.831416130065918
1616156517.3562863,41,0.8302516937255859
1616156527.6646671,42,0.8624257445335388
1616156537.9983969,43,0.8666348457336426
1616156548.289337,44,0.8669668436050415
1616156558.569869,45,0.8665945529937744
1616156568.785977,46,0.8629166483879089
1616156579.0056891,47,0.830394983291626
1616156589.2043118,48,0.8790954351425171
1616156599.5038764,49,0.838533341884613
1616156609.766347,50,0.8686159253120422
1616156620.0158296,51,0.8540018200874329
1616156630.259751,52,0.8598207831382751
1616156640.4930701,53,0.8833868503570557
1616156650.7323365,54,0.879385769367218
1616156660.9410572,55,0.8983592391014099
1616156671.2339149,56,0.8831075429916382
1616156681.9762702,57,0.9003008604049683
1616156693.4829543,58,0.9028512835502625
1616156704.940444,59,0.9050909876823425
1616156716.4721422,60,0.8693191409111023
1616156727.9670672,61,0.8920114636421204
1616156739.4910293,62,0.8992219567298889
1616156750.954579,63,0.9096121788024902
1616156762.2016697,64,0.9050920009613037
1616156772.7051048,65,0.900262176990509
1616156784.2069285,66,0.9171693325042725
1616156795.682711,67,0.9022212624549866
1616156807.2497122,68,0.9164131283760071
1616156818.7201648,69,0.919299304485321
1616156830.170909,70,0.925322949886322
1616156840.5000565,71,0.9247165322303772
1616156850.8308437,72,0.92070472240448
1616156861.2560651,73,0.9100430011749268
1616156872.7463162,74,0.9110203385353088
1616156884.20008,75,0.9208034873008728
1616156895.6805134,76,0.920492947101593
1616156907.2236931,77,0.9197976589202881
1616156918.7041283,78,0.92793869972229
1616156930.238929,79,0.9225609302520752
1616156941.8349013,80,0.930901825428009
1616156953.3217824,81,0.9256463050842285
1616156963.637904,82,0.9272326231002808
1616156974.6827595,83,0.9310246109962463
1616156985.841952,84,0.9098064303398132
1616156996.179151,85,0.9344552159309387
1616157006.8832722,86,0.9352119565010071
1616157017.4820616,87,0.9330289363861084
1616157027.8545184,88,0.9354835152626038
1616157038.1565886,89,0.9357917904853821
1616157048.4838874,90,0.9388083815574646
1616157058.762834,91,0.9378111362457275
1616157069.3035297,92,0.9390557408332825
1616157079.65263,93,0.9412731528282166
1616157090.0619714,94,0.9465668201446533
1616157100.68711,95,0.9357938170433044
1616157110.9722714,96,0.9272875785827637
1616157121.2117004,97,0.9280910491943359
1616157131.4503872,98,0.9333298206329346
1616157141.6821225,99,0.9130443930625916
1616157151.9360602,100,0.9368336796760559
