Wall time,Step,Value
1616140804.407282,1,0.850327730178833
1616140894.0247476,2,0.8869880437850952
1616140983.515415,3,0.9149004817008972
1616141081.0516746,4,0.9241834282875061
1616141169.3568294,5,0.9253418445587158
1616141257.3535838,6,0.936851441860199
1616141346.229957,7,0.9370132088661194
1616141434.8743036,8,0.9401029348373413
1616141523.9472208,9,0.9326930046081543
1616141612.3805754,10,0.93890380859375
1616141702.681609,11,0.943189799785614
1616141791.3405244,12,0.9474907517433167
1616141879.119456,13,0.9464656114578247
1616141967.532442,14,0.949921190738678
1616142055.4678628,15,0.9463356137275696
1616142144.1968074,16,0.95240718126297
1616142248.768517,17,0.9526543021202087
1616142353.8220153,18,0.9502326846122742
1616142441.812531,19,0.9541491866111755
1616142530.2916977,20,0.9544869065284729
1616142626.0324821,21,0.9552149176597595
1616142738.2613432,22,0.9546921253204346
1616142907.4615142,23,0.956538200378418
1616142995.0770097,24,0.9566519260406494
1616143090.8311958,25,0.9554972648620605
1616143178.2623386,26,0.9584934115409851
1616143273.9214544,27,0.9565905928611755
1616143361.3190846,28,0.9587876200675964
1616143457.2426453,29,0.9610908031463623
1616143544.5785658,30,0.9569060206413269
1616143632.0737336,31,0.9615688323974609
1616143719.5236173,32,0.9616128206253052
1616143806.9483633,33,0.9585672616958618
1616143894.2316287,34,0.9618405699729919
1616143981.76159,35,0.9603613018989563
1616144068.8066196,36,0.9630122184753418
1616144164.528213,37,0.962030827999115
1616144251.8924437,38,0.9637888669967651
1616144339.229508,39,0.9643877148628235
1616144426.9158895,40,0.9639860987663269
1616144514.9704432,41,0.964311420917511
1616144603.096704,42,0.9648926258087158
1616144691.5222173,43,0.9637049436569214
1616144779.9907997,44,0.9658875465393066
1616144869.043238,45,0.9653786420822144
1616144957.7402098,46,0.9660318493843079
1616145046.1632276,47,0.9625939726829529
1616145134.4550638,48,0.9652001261711121
1616145223.041749,49,0.966458261013031
1616145320.0124576,50,0.9660962820053101
1616145408.1252892,51,0.9656657576560974
1616145497.7659028,52,0.9665337204933167
1616145605.2530475,53,0.9673178791999817
1616145694.2998638,54,0.9667677283287048
1616145783.2004275,55,0.9665091633796692
1616145873.1234922,56,0.9676657319068909
1616145965.0332954,57,0.9680920243263245
1616146072.6960561,58,0.9666532278060913
1616146164.3191156,59,0.9682365655899048
1616146257.1226146,60,0.9673095941543579
1616146378.15693,61,0.9682618379592896
1616146466.7678251,62,0.9686097502708435
1616146647.358189,63,0.9685774445533752
1616146751.785318,64,0.9685389995574951
1616146840.5977454,65,0.9697873592376709
